V_BZNO,DEFAULT_YM,IS_RECOVERED,RECOVER_DT,DEFAULT_DT,DSH_RSN_CNT,DSH_RSN_DSC,RECOVER_YM
1000011875,202602,0,,2026-02-14,1,41,
1000011896,202212,0,,2022-12-02,1,41,
1000011948,202507,0,,2025-07-15,1,41,
1000011951,202507,0,,2025-07-21,1,41,
1000011981,202401,0,,2024-01-10,1,41,
1000012009,202501,0,,2025-01-22,1,41,
1000012013,202509,0,,2025-09-26,1,41,
1000012014,202108,0,,2021-08-20,1,41,
1000012087,202504,0,,2025-04-02,1,41,
1000012217,202307,0,,2023-07-10,1,41,
1000012297,202302,0,,2023-02-24,1,41,
1000012298,202412,0,,2024-12-04,1,41,
1000012331,202404,1,2024-05-14,2024-04-11,1,41,202405
1000012331,202410,0,,2024-10-12,1,41,
1000012423,202604,0,,2026-04-23,1,41,
1000012445,202602,0,,2026-02-06,1,41,
1000012451,202112,0,,2021-12-10,1,41,
1000012463,202511,0,,2025-11-04,1,41,
1000012579,202511,0,,2025-11-24,1,41,
1000012584,202510,0,,2025-10-01,1,41,
1000012639,202210,0,,2022-10-13,1,41,
1000012677,202104,0,,2021-04-28,1,41,
1000012739,202412,0,,2024-12-07,1,40,
1000012740,202211,0,,2022-11-28,1,41,
1000012786,202204,0,,2022-04-07,1,40,
1000012828,202402,0,,2024-02-23,1,41,
1000012837,202512,1,2026-02-20,2025-12-13,1,41,202602
1000012853,202411,0,,2024-11-02,1,41,
1000013004,202107,0,,2021-07-31,1,41,
1000013009,202602,0,,2026-02-13,1,41,
1000013017,202310,0,,2023-10-20,1,41,
1000013024,202210,0,,2022-10-06,1,41,
1000013045,202210,0,,2022-10-07,1,41,
1000013056,202601,0,,2026-01-19,1,41,
1000013076,202203,1,2022-06-24,2022-03-25,1,41,202206
1000013076,202212,0,,2022-12-19,1,10,
1000013079,202502,0,,2025-02-20,1,41,
1000013123,202308,0,,2023-08-26,1,41,
1000013136,202301,0,,2023-01-06,1,41,
1000013161,202601,0,,2026-01-02,1,41,
1000013167,202412,0,,2024-12-20,1,41,
1000013237,202403,0,,2024-03-11,1,41,
1000013251,202304,0,,2023-04-13,1,41,
1000013262,202507,0,,2025-07-04,1,41,
1000013288,202502,0,,2025-02-05,1,41,
1000013303,202111,0,,2021-11-24,1,40,
1000013341,202304,0,,2023-04-29,1,41,
1000013355,202512,0,,2025-12-31,1,41,
1000013368,202303,0,,2023-03-20,1,41,
1000013383,202309,0,,2023-09-25,1,41,
1000013405,202310,0,,2023-10-13,1,41,
1000013414,202112,0,,2021-12-16,1,41,
1000013418,202510,0,,2025-10-02,1,40,
1000013421,202405,1,2024-06-11,2024-05-30,1,41,202406
1000013446,202112,0,,2021-12-06,1,41,
1000013455,202212,0,,2022-12-30,1,41,
1000013463,202307,0,,2023-07-06,1,41,
1000013522,202411,0,,2024-11-27,1,41,
1000013543,202511,0,,2025-11-21,1,40,
1000013723,202305,0,,2023-05-25,1,41,
1000013730,202307,0,,2023-07-01,1,41,
1000013740,202502,0,,2025-02-01,1,41,
1000013743,202411,0,,2024-11-06,1,41,
1000013769,202212,0,,2022-12-29,1,41,
1000013812,202211,0,,2022-11-24,1,40,
1000013818,202412,0,,2024-12-23,1,41,
1000013823,202507,0,,2025-07-21,1,41,
1000013830,202112,0,,2021-12-23,1,41,
1000013841,202405,0,,2024-05-31,1,41,
1000013848,202502,1,2025-09-01,2025-02-27,1,41,202509
1000013860,202309,0,,2023-09-21,1,41,
1000013870,202202,0,,2022-02-10,1,40,
1000013901,202209,0,,2022-09-23,1,41,
1000013977,202207,0,,2022-07-22,1,41,
1000013996,202404,0,,2024-04-01,1,41,
1000014013,202311,0,,2023-11-02,1,40,
1000014057,202301,0,,2023-01-11,1,41,
1000014065,202406,0,,2024-06-28,1,41,
1000014073,202303,0,,2023-03-09,1,41,
1000014097,202302,1,2023-07-03,2023-02-16,1,41,202307
1000014097,202404,0,,2024-04-26,1,41,
1000014106,202505,0,,2025-05-22,1,40,
1000014125,202401,0,,2024-01-12,1,41,
1000014144,202312,0,,2023-12-22,1,41,
1000014195,202601,0,,2026-01-03,1,41,
1000014196,202408,0,,2024-08-07,1,41,
1000014211,202403,0,,2024-03-07,1,41,
1000014214,202310,0,,2023-10-16,1,41,
1000014218,202307,0,,2023-07-27,1,41,
1000014221,202501,0,,2025-01-31,1,41,
1000014250,202107,0,,2021-07-05,1,10,
1000014488,202305,0,,2023-05-08,1,40,
1000014572,202310,0,,2023-10-25,1,40,
1000014599,202311,0,,2023-11-02,1,41,
1000014601,202410,0,,2024-10-04,1,41,
1000014619,202312,0,,2023-12-05,1,41,
1000014702,202601,0,,2026-01-02,1,41,
1000014729,202111,0,,2021-11-05,1,40,
1000014756,202410,0,,2024-10-04,1,41,
