V_BZNO|BAS_YM|FC_AM1|LA_INSP_KRW_AM1|FC_AM2|LA_INSP_KRW_AM2|FC_AM3|LA_INSP_KRW_AM3|FC_AM4|LA_INSP_KRW_AM4|LA_INSP_KRW_AM5|
가상_사업자번호|기준년월 |미국_외화|미국_원화|일본_외화|일본_원화|중국_외화|중국_원화|유럽_외화|유럽_원화|계_원화|
1000000202|202312|0|4355|0|1269|||0|1057|6832|
1000000202|202412|0|5392759|0|1667610|||0|930607|8738626|
1000000204|202112|14825000|17575|23930000|247|||465000|624|18657|
1000000204|202212|13694000|17354|10727000|102|||2550000|3446|21272|
1000000204|202312|26507000|34178|37648000|344|||2558000|3649|38184|
1000000204|202412|26519000|38982|26293000|246|||3485000|5328|44559|
1000000206|202112|4301667|5100|||||||5100|
1000000206|202212|825355|1046|||||||1046|
1000000206|202312|1918115|2473|||||||2473|
1000000206|202412|1813884|2666|||||||2666|
1000000207|202112|390136|462|||||213426|287|749|
1000000207|202212|696|1|||||||1|
1000000207|202312|1968|3|||||||3|
1000000208|202212|802513|1017|||||1950000|2635|3652|
1000000208|202312|80000|103|||||||103|
1000000209|202112|0|52554|0|310|||0|331|53212|
1000000209|202212|0|60550|0|494|||0|382|61432|
1000000209|202312|0|53349|0|67|||0|219|53638|
1000000209|202412|0|28095|0|326|||0|244|28668|
1000000210|202112|2107920|2499|200000|2|||||2501|
1000000210|202212|11899862|15081|||||||15081|
1000000210|202312|1864531|2404|||231815|42|||2446|
1000000210|202412|||||1209|0|||0|
1000000213|202112|61197157|74098|||14000|3|||74101|
1000000213|202212|71083484|90084|||14000|3|||90093|
1000000213|202312|76464030|98592|||14000|3|||98595|
1000000213|202412|81424233|119694|||14200|3|63|0|119697|
1000000214|202112|0|42|0|34|||||76|
1000000214|202212|0|112|||||0|47|159|
1000000214|202312|0|88|||||0|54|142|
1000000214|202412|0|22|||||0|20|42|
1000000215|202112|177908|209|||||||209|
1000000215|202312|||||||||0|
1000000215|202412|||||||||0|
1000000220|202112|23000000|27267|||||||27267|
1000000220|202212|23000|29148|||||||29148|
1000000220|202312|23000000|29656|||||||29656|
1000000220|202412|27403441|40283|||||||40283|
1000000221|202212|862800|1093|||||196779|266|1359|
1000000221|202312|1144280|1475|||||||1475|
1000000221|202412|1087888|1599|||||||1599|
1000000222|202112|15231986|18058|182428500|1879|||1703460|2287|22224|
1000000222|202212|19720582|24992|197940000|1887|||229260|310|27189|
1000000222|202312|18474704|23821|243305000|2221|||519300|741|26783|
1000000222|202412|22418795|32956|192274000|1801|||1332850|2038|36795|
1000000223|202112|0|129264|||||0|19168|148432|
1000000223|202212|0|164252|0|14|||0|13445|177711|
1000000223|202312|0|232662|||||0|39578|272240|
1000000223|202412|0|227051|0|10|||0|47316|274377|
1000000224|202212|||||||48000|65|65|
1000000224|202312|||||||48000|66|66|
1000000225|202112|249054|295|||||||295|
1000000225|202212|3505650|4443|||||||4443|
1000000225|202312|4638856|5981|||||||5981|
1000000225|202412|5550520|8159|||||||8159|
1000000228|202112|26257796|30282|1750290|18|||551|1|30301|
1000000228|202212|39110594|49565|||||||49565|
1000000228|202312|48509592|62548|915339|8|||||62556|
1000000228|202412|62058623|91226|163160|2|||||91228|
1000000230|202312|0|787|||||||787|
1000000230|202412|0|1915|||||||1915|
1000000233|202112|4900000|5809|||||||5809|
1000000233|202212|4900000|6210|||||||6210|
1000000233|202312|4900000|6318|||||||6318|
1000000233|202412|4900000|6437|||||||6437|
1000000234|202112|19878995|23568|||||||23568|
1000000234|202212|19473949|24679|||||||24679|
1000000234|202312|11222046|14470|||||||14470|
1000000234|202412|15456114|22720|||||2955|5|22725|
1000000235|202112|38601|45761|||||||45976|
1000000235|202212|8620000|10925|||||||10925|
1000000235|202312|5776000|7448|||||||7448|
1000000235|202412|5049000|7422|||||||7422|
1000000237|202112|10000000|11855|||||||11855|
1000000238|202112|1048|1|||||3120|4|11|
1000000238|202212|||||||3120|4|10|
1000000238|202312|3489|4|||||3120|4|21|
1000000238|202412|||||||||13|
1000000239|202112|344926|409|||||||409|
1000000239|202212|9854|12|||||||12|
1000000239|202312|29054|37|||||||37|
1000000239|202412|83|0|||||||0|
1000000241|202112|0|857143|0|5762|||||862905|
1000000241|202212|0|864605|0|3011|||||867616|
1000000241|202312|0|701150|0|990|||||702140|
1000000241|202412|0|830297|0|476|||||830773|
1000000242|202112|0|102780|0|3984|0|192|0|94|119200|
1000000242|202212|0|142229|0|1947|0|164|0|225|152022|
1000000242|202312|0|159454|0|657|0|306|0|665|175191|
1000000242|202412|0|74776|0|362|0|189|0|31|90672|
1000000242|202512|0|60132|0|768|0|205|0|554|72895|
1000000243|202112|24800|29|||||||29|
1000000243|202212|4200|5|||||||5|
1000000243|202312|||||||33726|48|48|
1000000243|202412|142195|209|||324597|65|6031|9|283|
1000000244|202112|0|11034|||||||11034|
1000000244|202212|0|17982|||||||17982|
1000000244|202312|0|19394|||||||19394|
1000000244|202412|0|31853|||||||31853|
1000000245|202112|4715|6|||4747|6|374009|444|456|
1000000245|202212|175619|223|||||73|10|233|
1000000245|202312|135666|175|||5400|1|551992|787|963|
1000000245|202412|154884|228|||||3300|5|233|
1000000247|202112|0|25939|0|4|||0|98|26041|
1000000247|202212|0|13283|0|7|||0|406|13696|
1000000247|202312|0|4507|0|3|||0|270|4780|
1000000247|202412|0|8281|0|4|||0|91|8376|
1000000248|202112|305051|362|||||101629|136|498|
1000000248|202212|2695277|3416|||||57365|77|3493|
1000000248|202312|232760|300|||206572|37|||723|
1000000248|202412|838046|1232|||114699|23|52273|80|1335|
1000000249|202112|20000000|23710|||||620900|833|24543|
1000000249|202212|24579958|31150|||||||31150|
1000000249|202312|||||||140000|200|200|
1000000249|202412|13887935|20415|||||||20415|
1000000250|202112|0|56158|||||0|217|56375|
1000000250|202212|0|37757|0|40|||0|488|38285|
1000000250|202312|0|39892|||||0|68|39960|
1000000250|202412|0|41426|0|23|||0|36|41485|
1000000257|202112|1352821|1604|||||56829|76|1680|
1000000257|202212|2042469|2589|||||54381|73|2662|
1000000257|202312|1673213|2161|||||||2161|
1000000257|202412|1513072|2224|||||||2224|
1000000258|202112|894885|1061|15072470|155|||||1216|
1000000258|202212|861675|1091|44261198|422|||||1513|
1000000258|202312|967631|1248|51448840|470|||||1718|
1000000258|202412|1215844|1788|75259370|705|||||2493|
1000000261|202412|||||||||0|
1000000263|202112|76357407|90521|||||||90521|
1000000263|202212|120858718|153164|||||||153164|
1000000263|202312|107893593|139118|||||||139118|
1000000263|202412|32049745|47113|||||||47113|
1000000266|202112|4902485|5812|1045440|11|||71345|96|5919|
1000000266|202212|8013100|10155|||19263|3|||10425|
1000000266|202312|4182705|5393|||||||5393|
1000000266|202412|5621356|8263|||||32843|50|8313|
1000000267|202112|577523661|684654|||||377169|506|685164|
1000000267|202212|898991728|1139292|253175|2|||327650|443|1139756|
1000000267|202312|796227880|1026656|2600000|24|||865722|1235|1027915|
1000000267|202412|1936995721|2847384|30250|28|||140762|216|2847646|
1000000270|202112|38155120|45233|||||||45233|
1000000270|202212|27021239|34244|||||||34244|
1000000270|202312|27297621|35197|||||||35197|
1000000270|202412|27471830|40384|||||||40384|
1000000273|202112|0|150|||||||150|
1000000279|202112|0|48282|0|22915|||0|935|72132|
1000000279|202212|0|72209|||||||94417|
1000000279|202312|0|86894|0|30099|||||116993|
1000000279|202412|0|64892|0|30255|||||95147|
1000000282|202112|26728426|31687|17882400|184|7564|1|||31873|
1000000282|202212|0|46997|0|287|0|15|||47365|
1000000282|202312|0|60535|0|295|0|41|||60964|
1000000282|202412|0|97361|0|543|||||98335|
1000000283|202112|14060716|16669|||||||16669|
1000000283|202212|13474979|17077|||||||17077|
1000000283|202312|9014737|11624|||||||11624|
1000000283|202412|9037712|13285|||||||13285|
1000000284|202112|0|5279609|0|1022|||||5280631|
1000000284|202212|0|6066896|0|987|||||6067883|
1000000284|202312|0|5866812|0|940|||||5867752|
1000000284|202412|0|8555881|0|7|||||8555888|
1000000285|202112|101285|120|||||317480|426|546|
1000000285|202212|329849|418|||||528997|715|1133|
1000000285|202312|818858|1056|38300000|350|||528997|755|2161|
1000000285|202412|291513|429|||||283286|433|862|
1000000289|202112|0|1983121|0|2710|0|761|0|13571|2000163|
1000000289|202212|0|2027213|0|2372|0|1140|0|4831|2035556|
1000000289|202312|0|1573517|0|6268|0|972|0|3436|1584199|
1000000289|202412|0|1208263|0|2027|0|1266|0|1925|1213481|
1000000292|202112|0|28143|||||0|2685|30933|
1000000292|202212|0|26363|||||0|2702|29176|
1000000292|202312|0|26363|||||0|2702|29176|
1000000292|202412|0|15232|||||0|3057|18416|
1000000296|202112|0|124|||||0|101|225|
1000000296|202212|0|75|0|23|||||98|
1000000296|202312|0|65|0|130|||0|41|236|
1000000296|202412|0|343|||||||343|
1000000302|202112|1076698|1276|||||||1276|
1000000302|202212|1271272|1611|||||||1611|
1000000302|202312|95202|123|||||||234|
1000000302|202412|191023|281|||||||281|
1000000303|202112|0|6974|0|13|||||6987|
1000000303|202212|0|13057|||||||13057|
1000000303|202312|0|14577|||||||14577|
1000000303|202412|0|9573|||||||9573|
1000000304|202112|509494000|604005|||||||604005|
1000000304|202212|481785000|610566|||||||610566|
1000000304|202312|518346000|668356|||||||668356|
1000000304|202412|477885000|702491|||||||702491|
1000000305|202112|208017000|246604|||75000|14|9079000|12188|258806|
