V_BZNO|LA_XPO_AM_2021_1|DME_AM_2021_1|TOT_SEL_AM_2021_1|LA_XPO_AM_2021_2|DME_AM_2021_2|TOT_SEL_AM_2021_2|LA_XPO_AM_2021_3|DME_AM_2021_3|TOT_SEL_AM_2021_3|LA_XPO_AM_2021_4|DME_AM_2021_4|TOT_SEL_AM_2021_4|LA_XPO_AM_2022_1|DME_AM_2022_1|TOT_SEL_AM_2022_1|LA_XPO_AM_2022_2|DME_AM_2022_2|TOT_SEL_AM_2022_2|LA_XPO_AM_2022_3|DME_AM_2022_3|TOT_SEL_AM_2022_3|LA_XPO_AM_2022_4|DME_AM_2022_4|TOT_SEL_AM_2022_4|LA_XPO_AM_2023_1|DME_AM_2023_1|TOT_SEL_AM_2023_1|LA_XPO_AM_2023_2|DME_AM_2023_2|TOT_SEL_AM_2023_2|LA_XPO_AM_2023_3|DME_AM_2023_3|TOT_SEL_AM_2023_3|LA_XPO_AM_2023_4|DME_AM_2023_4|TOT_SEL_AM_2023_4|LA_XPO_AM_2024_1|DME_AM_2024_1|TOT_SEL_AM_2024_1|LA_XPO_AM_2024_2|DME_AM_2024_2|TOT_SEL_AM_2024_2|LA_XPO_AM_2024_3|DME_AM_2024_3|TOT_SEL_AM_2024_3|LA_XPO_AM_2024_4|DME_AM_2024_4|TOT_SEL_AM_2024_4|LA_XPO_AM_2025_1|DME_AM_2025_1|TOT_SEL_AM_2025_1|LA_XPO_AM_2025_2|DME_AM_2025_2|TOT_SEL_AM_2025_2|LA_XPO_AM_2025_3|DME_AM_2025_3|TOT_SEL_AM_2025_3|LA_XPO_AM_2025_4|DME_AM_2025_4|TOT_SEL_AM_2025_4|
1000026207||||||||||||||||||||||||||||||||||||||||||||||0|32217|32217|||||||||||||
1000026084||||||||||0|61742|61742|||||||||||||||||||||||||||||||||||||||||||||||||
1000023966||||||||||0|22571|22571|||||||||||||||||||||||||||||||||||||||||||||||||
1000027016||||||||||0|6998|6998||||||||||||||||||||||0|7055|7055|||||||||||||||||||||||||
1000025745||||||||||0|3610|3610||||||||||0|10285|10285||||||||||0|7288|7288|||||||||||||||||||||||||
1000018140||||||||||0|6863|6863|||||||||||||||||||||||||||||||||||||||||||||||||
1000025754||||||||||||||||||||||||||||||||||||||||||||||||||||0|42133|42133|||||||
1000015612||||||||||0|4700|4700||||||||||0|4700|4700||||||||||0|3178|3178|||||||||||||||||||||||||
1000013774||||||||||0|15322|15322||||||||||0|13206|13206||||||||||0|16228|16228||||||||||0|28331|28331|||||||||||||
1000023004||||||||||0|939|939|||||||||||||||||||||||||||||||||||||||||||||||||
1000005263||||||||||||||||||||||||||||||||||||||||||||||0|54741|54741||||||||||0|76361|76361|
1000026328||||||||||||||||||||||0|729|729||||||||||0|2101|2101|||||||||||||||||||||||||
1000028266||||||||||||||||||||||||||||||||||0|6886|6886||||||||||0|7922|7922||||||||||0|5075|5075|
1000022045||||||||||||||||||||||0|3500|3500|||||||||||||||||||||||||||||||||||||
1000028131||||||||||0|793|793|||||||||||||||||||||||||||||||||||||||||||||||||
1000027988||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|40166|40166|
1000027832||||||||||||||||||||||0|2341|2341||||||||||0|2341|2341|||||||||||||||||||||||||
1000024911||||||||||||||||||||||||||||||||||0|42970|42970|||||||||||||||||||||||||
1000028588||||||||||||||||||||||||||||||||||0|11529|11529||||||||||0|11775|11775||||||||||0|18306|18306|
1000027661||||||||||0|1800|1800|||||||||||||||||||||||||||||||||||||||||||||||||
1000027125||||||||||||||||||||||||||||||||||||||||||||||||||||0|11221|11221|||||||
1000026371||||||||||||||||||||||||||||||||||0|6732|6732|||||||||||||||||||||||||
1000029462||||||||||0|5360|5360||||||||||0|4718|4718||||||||||0|4854|4854|||||||||||||||||||||||||
1000000012|0|553688|553688|0|1153568|1153568|0|1802408|1802408|0|2504131|2504131|0|706255|706255|0|1421132|1421132|0|2128677|2128677|0|2849421|2849421|0|675051|675051|0|1366903|1366903|0|2058788|2058788|0|2807529|2807529|0|712161|712161|0|1446371|1446371|0|2202945|2202945|0|3015479|3015479|0|729112|729112|0|1469904|1469904|0|2269218|2269218|0|2389581|2389581|
1000029888||||||||||||||||||||||0|234933|234933||||||||||0|192765|192765||||||||||0|50723|50723||||||||||0|101433|101433|
1000029037||||||||||||||||||||||0|8579|8579||||||||||0|14412|14412||||||||||0|17249|17249|||||||||||||
1000030132||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|18943|18943|
1000028341|5270|34651|39921|20698|79087|99785|31660|130940|162600|43112|196976|240088|3578|31467|35045|15094|82293|97387|24397|125879|150276|32398|178059|210457|3926|38112|42038|8112|89401|97513|14711|159876|174587|33169|234669|267838|13802|47007|60809|29836|103621|133457|65095|152326|217421|140407|200975|341382|44374|33337|77711|101786|74777|176563|171056|108984|280040|236444|157497|393941|
1000026104||||||||||0|13428|13428|||||||||||||||||||||||||||||||||||||||||||||||||
1000029535||||||||||0|6230|6230||||||||||0|12000|12000|||||||||||||||||||||||||||||||||||||
1000027550||||||||||||||||||||||||||||||||||||||||||||||0|11311|11311|||||||||||||
1000029168||||||||||0|1045|1045||||||||||0|1821|1821|||||||||||||||||||||||||||||||||||||
1000029143||||||||||||||||||||||||||||||||||0|3208|3208|||||||||||||||||||||||||
1000028880||||||||||||||||||||||||||||||||||0|3099|3099|||||||||||||||||||||||||
1000012324||||||||||||||||||||||||||||||||||||||||||||||0|24431|24431|||||||||||||
1000018431||||||||||0|21919|21919||||||||||0|26015|26015|||||||||||||||||||||||||||||||||||||
1000031051||||||||||0|201046|201046||||||||||0|735817|735817||||||||||0|735817|735817||||||||||0|830695|830695||||||||||0|880971|880971|
1000003967||||||||||0|2423|2423||||||||||0|2218|2218||||||||||0|1922|1922||||||||||0|2167|2167||||||||||0|1710|1710|
1000013140||||||||||||||||||||||0|16351|16351|||||||||||||||||||||||||||||||||||||
1000005721||||||||||0|3645|3645||||||||||0|4049|4049||||||||||0|3664|3664||||||||||0|4695|4695|||||||||||||
1000004946||||||||||||||||||||||||||||||||||||||||||||||0|1741|1741|||||||||||||
1000004229||||||||||0|5921|5921|||||||||||||||||||||||||||||||||||||||||||||||||
1000005193||||||||||||||||||||||0|9179|9179|||||||||||||||||||||||||||||||||||||
1000004772|3155|250252|253407|8563|520701|529264|15959|789988|805947|26740|1050738|1077478|13584|249642|263226|28871|518013|546884|45629|761959|807588|66949|1010373|1077322|27919|246863|274782|55605|505679|561284|80690|750909|831599|66453|786260|852713|17752|176886|194638|35145|377830|412975|52501|581873|634374|69987|774287|844274|18512|194023|212535|35678|392637|428315|52311|591455|643766|68151|779652|847803|
1000004653||||||||||0|2845|2845|||||||||||||||||||||||||||||||||||||||||||||||||
1000005044||||||||||||||||||||||0|11176|11176||||||||||0|7852|7852||||||||||||||||||||||0|8984|8984|
1000007823||||||||||0|25216|25216||||||||||0|29156|29156||||||||||0|32353|32353||||||||||||||||||||||0|27738|27738|
