V_BZNO|KIS_LS_FNA_MKS_2021|KIS_LS_FNA_MKS_2022|KIS_LS_FNA_MKS_2023|KIS_LS_FNA_MKS_2024|KIS_LS_FNA_MKS_2025|
가상_사업자번호|최종재무평점_2021|최종재무평점_2022|최종재무평점_2023|최종재무평점_2024|최종재무평점_2025|
1000015007|6||6|9|9|
1000015039|8|||||
1000015083|6|6||6|6|
1000015086|5|5|6|6|6|
1000015095|6|5|5|5|5|
1000015132|4||||4|
1000015140|8|8||||
1000015154|||4|||
1000015174|4|5|5|||
1000015182|8|8|9|||
1000015195|3|7|7|8||
1000015219|4|4|5|4|4|
1000015236|7|8|6|6|5|
1000015355|2|2|2|3|3|
1000015371|6|5|6|6||
1000015373|5|5|5|||
1000015374|6|5|7|6||
1000015380|5|5|5|8|5|
1000015394|||5|4||
1000015403||8|8|||
1000015444|4|4|3|||
1000015457|4|5|4|4|4|
1000015495|6|5|6|5|4|
1000015504|6|5|6|7|6|
1000015510|4|4|4|5|6|
1000015513|5||5|5|6|
1000015515|4|4|4|4||
1000015528|4|||4||
1000015531|6||6|6|6|
1000015538|7|8|8|8||
1000015546|5|5|4|||
1000015572|6|5|4|4||
1000015607|4|4|4|6|5|
1000015642|4|5|5|6||
1000015643|5|4||6||
1000015666|7|6|6|6|6|
1000015669|7|8|7|6|7|
1000015695|5||5|5|5|
1000015711|6|4|4|4||
1000015738|3|4|5|||
1000015756|5|5|5|5|5|
1000015783|6|||||
1000015803|6|5|5|5|4|
1000015818|5|4|5|6|5|
1000015833|7|9||||
1000015842|6||5|7||
1000015849||5|5|5|5|
1000015854|6|5|8|6|6|
1000015856|4|||||
1000015866|8|8|5|5||
1000015913|4|5|5|5|5|
1000015943|4|4|5|5|6|
1000015976|4|4|4|3|3|
1000015989|4|4|4|4|4|
1000016006|4||3|4||
1000016019|4|5|4|4||
1000016045|3|3|3|4|3|
1000016056|4|5|8|8|6|
1000016071|7|8|8|9|8|
1000016090|5|4|4|4||
1000016122|8|8|9|8||
1000016163|6|5|4|5|7|
1000016208|4|4||3||
1000016220|6|5|4|5||
1000016238|6||6|8|8|
1000016252|6|7|6|6|6|
1000016271|5|5|6|7||
1000016292|8|||||
1000016297|8||9|8||
1000016319|5|6||8|7|
1000016338|6|6|9|9|8|
1000016342||||6||
1000016402|6|7|7|6|6|
1000016416|6|5|4|3|4|
1000016418|5|5|4|4|4|
1000016456|4|4|4|5|4|
1000016463|3|4|3|3|3|
1000016465|5|4|4|5||
1000016466|6|5|5|4||
1000016470|8|7|9|5||
1000016478|5|6|6|5|5|
1000016506|6|4|9|||
1000016513|4|4|4|4|4|
1000016515|3||3|4||
1000016516|4|5|4|3|5|
1000016533|6|7|9|9||
1000016566||5|4|4||
1000016607|4|||6|6|
1000016633|4|4|4|4||
1000016639|5|6|4|7|6|
1000016646||8||7||
1000016651||7|6|5|5|
1000016717||9||||
1000016795|6|5|6|5|4|
1000016813|6|7|7|6|6|
1000016829||5|5|||
1000016830|4|4|6|5||
1000016854|5|4|4|||
1000016862|5|4|6|5|6|
1000016877|4|5|5|6|4|
1000016888|5|4|4|4|4|
1000016890|6|7||||
1000016897|2|2|3|3|4|
1000016906|4|6|5|6|5|
1000016920|5|6|6|6|8|
1000016933||8|6|5||
1000016968|4|6|4|4|4|
1000016982|4|4|5|5|5|
1000016996|5|5|5|6|4|
1000017002|4|4|4|||
1000017017|5|4|4|4|4|
1000017022|6||6|6|4|
1000017034|3|3|4|4|5|
1000017036|5|5|5|5|5|
1000017063|7|5|8|10|10|
1000017083|4|5|4|4|4|
1000017089|6|5|5|5|5|
1000017112|8|8|9|||
1000017119|4|4|6|6|8|
1000017121|6|7|6|6||
1000017129|4|4||||
1000017153|5|5|6|||
1000017162|5|5|6|5|6|
1000017164|6|6|5||4|
1000017178|8|10||10|9|
1000017200|5|5|9|10||
1000017272|6|5|6|6|5|
1000017298|5|5|5|6|5|
1000017328|8|7||||
1000017361|9|8||||
1000017362|4|4|3|4|3|
1000017365|5|5||8||
1000017387|4|4|4|4||
1000017402|5|5|4|4||
1000017403|5|6|5|4|4|
1000017407|6|5|5|4|4|
1000017417|5|7|8|6|4|
1000017460|7|7|8|8||
1000017482|5|4|5|6|6|
1000017500|5|5|5|6|6|
1000017509|6|6|10|8|7|
1000017511|9|5|4|4|6|
1000017540|4|4|5|7|6|
1000017551|5|5|8|8|8|
1000017571|4|4|4|4||
1000017598|5|4|6|4|5|
1000017629|5|6|5|4||
1000017671|7|||||
1000017685|5|5|4|4|4|
1000017714|9|||||
1000017721||4|5|4|4|
1000017722||8||6||
1000017731|4|4|4|4||
1000017742|8|6|7|7|6|
1000017753|5|4|4|4||
1000017760|4|5|6|6|6|
1000017770|4|6|5|5|6|
1000017778|2|2|3|3|3|
1000017791|6|7|5|5||
1000017800|6|6|6|6|6|
1000017807||4|3||4|
1000017841|5|8|9|10|7|
1000017869|4|4|4|4||
1000017900|8|||||
1000017901|6|7|8|6|8|
1000017920|6|6|7|7|5|
1000017932|3|5|4|5||
1000017946|||4|4||
1000017963|4|4||5||
1000017965|8|6|7|7|7|
1000017974|4|4|4|5|5|
1000025080|6|5|4|4||
1000017976|8|6|6|8|6|
1000018002|6|7|6|8|8|
1000018038|5|5|5|4|4|
1000018058|4|4|4|4|4|
1000018071|9|8||8|8|
1000018204|8|8|8|8||
1000018225||5||5||
1000018284|8|7||||
1000018286|6|6|8|6||
1000018354|4|3|3|4|4|
1000018357|5|4||||
1000018360|4|4|5|5|6|
1000018364|5|5|6|6|7|
1000018385|8|8|9|||
1000018427|5|||||
