V_BZNO|BASDT1|PERS1|BASDT2|PERS2|BASDT3|PERS3|BASDT4|PERS4|BASDT5|PERS5|BASDT6|PERS6|BASDT7|PERS7|BASDT8|PERS8|BASDT9|PERS9|BASDT10|PERS10|BASDT11|PERS11|
가상_사업자번호|기준일자1|종업원수1|기준일자2|종업원수2|기준일자3|종업원수3|기준일자4|종업원수4|기준일자5|종업원수5|기준일자6|종업원수6|기준일자7|종업원수7|기준일자8|종업원수8|기준일자9|종업원수9|기준일자10|종업원수10|기준일자11|종업원수11|
1000019032|20210331|5|||||||||||||||||||||
1000018994|20210331|60|20211231|65|20221231|78|20230430|78|20231231|86|20240331|88|20241231|103|20250324|102|20251231|114|20260325|117|||
1000019029|20210405|33|20211231|32|20220324|32|20221231|34|20230410|38|20231231|34|20240402|38|||||||||
1000006252|20210510|15|||||||||||||||||||||
1000012707|20211231|71|20220614|71|20221231|70|20230531|68|20231231|68|20240516|68|20241231|71|20250528|57|||||||
1000020380|20210611|17|20211231|16|20220623|16|20221231|16|20230609|16|20231231|14|20240610|14|20241231|13|20250618|13|||||
1000014105|20251231|86|20260331|94|||||||||||||||||||
1000011498|20211231|13|20220630|13|||||||||||||||||||
1000002748|20211231|81|20221231|93|20231231|75|20240321|75|20240730|74|20241231|69|20250314|76|20251231|70|20260318|71|||||
1000007158|20211231|68|20220331|71|20221231|73|20230331|74|||||||||||||||
1000019039|20231231|235|20240507|235|20241231|272|20250430|273|||||||||||||||
1000016769|20210331|126|20211231|104|20220331|105|20231231|114|20240331|115|20241231|114|20250331|111|||||||||
1000017232|20210331|14|20210625|14|20220331|8|20220629|8|20230331|5|20230703|4|20240331|4|20240624|4|20250331|2|20250626|2|||
1000009639|20241231|166|20250421|160|20251231|180|20260408|191|||||||||||||||
1000014027|20210329|86|20211231|99|20220225|102|||||||||||||||||
1000009149|20211231|38|20220427|39|||||||||||||||||||
1000014166|20251231|502|20260407|512|||||||||||||||||||
1000014793|20210401|51|20211231|51|20220404|29|20221231|30|||||||||||||||
1000009645|20210430|292|20211231|285|20220430|311|20221231|352|20231231|310|20240503|296|20241231|310|20250423|301|20251231|278|20260416|267|||
1000019416|20210331|18|20211231|17|20220331|17|20221231|17|20230331|18|20231231|21|20240411|21|20241231|22|20250311|26|20251231|29|20260323|30|
1000019855|20241231|25|20250630|25|20260224|23|||||||||||||||||
1000012725|20241231|10|20250410|10|||||||||||||||||||
1000010175|20241231|30|20251231|30|20260226|30|20260406|30|||||||||||||||
1000002898|20210401|109|||||||||||||||||||||
1000002652|20210324|28|20211231|28|20220331|28|20231231|31|20240401|31|||||||||||||
1000011102|20211231|8|20220331|9|20231231|0|20240327|9|20240822|9|20241231|9|20250328|9|20251231|11|20260331|13|||||
1000008483|20231231|8|20241017|10|||||||||||||||||||
1000002720|20251231|45|20260402|47|||||||||||||||||||
1000013566|20231231|5|20240630|5|||||||||||||||||||
