V_BZNO|1_ST_DT|1_ED_DT|1_CRI_GRDNM|2_ST_DT|2_ED_DT|2_CRI_GRDNM|3_ST_DT|3_ED_DT|3_CRI_GRDNM|4_ST_DT|4_ED_DT|4_CRI_GRDNM|5_ST_DT|5_ED_DT|5_CRI_GRDNM|6_ST_DT|6_ED_DT|6_CRI_GRDNM|7_ST_DT|7_ED_DT|7_CRI_GRDNM|
가상_사업자번호|등급적용시작일자 _2020|등급적용종료일자 _2020|CRI등급_2020|등급적용시작일자 _2021|등급적용종료일자 _2021|CRI등급_2021|등급적용시작일자 _2022|등급적용종료일자 _2022|CRI등급_2022|등급적용시작일자 _2023|등급적용종료일자 _2023|CRI등급_2023|등급적용시작일자 _2024|등급적용종료일자 _2024|CRI등급_2024|등급적용시작일자 _2025|등급적용종료일자 _2025|CRI등급_2025|등급적용시작일자 _2026|등급적용종료일자 _2026|CRI등급_2026|
1000004195|20200319|20210316|BB+|20210316|20220316|BBB0|20220316|20230319|BBB+|20230319|20240308|BBB+|20240308|20250402|BBB+|20250402|20260318|BBB+|20260318|20280101|BB+|
1000004196|20200730|20210423|BBB0|20210423|20220427|BBB0|20220427|20230512|A0|20230512|20240521|A-|20240521|20250417|A-|20250417|20260512|A0|20260512|20280101|A-|
1000004197|20210101|20211021|CCC+|20211021|20220524|B+|20220524|20230509|BB+|20230509|20240614|B0|20240614|20250626|CCC-|20250626|20270101|B-||||
1000004198|20200331|20210413|B0|20210413|20220330|B+|20220330|20230331|BB-|20230331|20240415|BB-|20240415|20250409|B+|20250409|20260404|B0|20260404|20280101|B+|
1000004199|20200408|20210416|BBB0|20210416|20220406|BBB0|20220406|20230325|BBB0|20230325|20240411|BBB0|20240411|20250406|BBB0|20250406|20260402|BBB0|20260402|20280101|BBB+|
1000004200|20200310|20210319|B+|20210319|20220309|B0|20220309|20230326|BB0|20230326|20240317|BB+|20240317|20250327|BB+|20250327|20260311|BB-|20260311|20280101|B+|
1000004201|20210320|20210402|BBB0|20210402|20220402|B+|20220402|20230413|BB0|20230413|20240403|BB-|20240403|20250326|BB0|20250326|20260319|BB-|20260319|20280101|B+|
1000004202|20210101|20210119|CCC0|20220303|20220623|CCC-|20230605|20230726|CCC+|||||||||||||
1000004203|20210312|20210608|BBB-|20210608|20230101|BB0|20251019|20251218|BB+|20251218|20260103|BB0|20260103|20270101|BB+|||||||
1000004204|20200101|20210427|CCC+|20210427|20220528|B-|20240101|20240905|CCC+|20250101|20250515|CCC+|20250515|20260416|CCC+|20260416|20280101|CCC0||||
1000004205|20201203|20210508|BB0|20210508|20220526|B-|20240101|20240905|CCC+|20240905|20250101|BB+||||||||||
